index,word,pinyin,origin
714,程度,chéng dù,
715,留,liú,
716,分析,fēn xī,
717,消息,xiāo xi,
718,检查,jiǎn chá,
719,宣传,xuān chuán,
720,世界,shì jiè,佛源
721,相当,xiāng dāng,
722,好,hǎo,
723,英国,yīng guó,
724,合作,hé zuò,
725,发出,fā chū,
726,电影,diàn yǐng,佛源
727,另外,lìng wài,
728,身上,shēn shang,
729,线,xiàn,
730,肯定,kěn dìng,
731,举行,jǔ xíng,
732,目标,mù biāo,
733,反映,fǎn yìng,
734,量,liàng,
735,笔,bǐ,
736,医生,yī shēng,
737,成立,chéng lì,佛源
738,交,jiāo,
739,充分,chōng fèn,
740,林,lín,
741,突然,tū rán,
742,工程,gōng chéng,
743,户,hù,
744,一边,yī biān,
745,永远,yǒng yuǎn,
746,标准,biāo zhǔn,
747,原则,yuán zé,日源
748,同样,tóng yàng,
749,控制,kòng zhì,
750,队伍,duì wǔ,
751,结构,jié gòu,
752,晚上,wǎn shang,
753,指出,zhǐ chū,
754,调查,diào chá,
755,立,lì,
756,农业,nóng yè,
757,家里,jiā lǐ,
758,难,nán,
759,清楚,qīng chu,
760,采取,cǎi qǔ,
761,群,qún,
762,集中,jí zhōng,
763,进一步,jìn yī bù,
764,明显,míng xiǎn,
765,粮食,liáng shi,
766,省,shěng,
767,结合,jié hé,
768,保证,bǎo zhèng,
769,团,tuán,
770,过,guò,
771,喜欢,xǐ huan,
772,动,dòng,
773,最近,zuì jìn,
774,穿,chuān,
775,文,wén,
776,收入,shōu rù,
777,求,qiú,
778,实行,shí xíng,
779,提,tí / dī / dǐ,
780,及,jí,
781,面对,miàn duì,
782,愿意,yuàn yì,
783,厂,chǎng / ān / hǎn,
784,系统,xì tǒng,
785,形象,xíng xiàng,
786,竟,jìng,
787,晚,wǎn,
788,短,duǎn,
789,国内,guó nèi,
790,离,lí,
791,人生,rén shēng,
792,权,quán,
793,辆,liàng,
794,股,gǔ,
795,充满,chōng mǎn,
796,论,lùn / lún,
797,负责,fù zé,
798,感情,gǎn qíng,
799,利益,lì yì,
800,等等,děng děng,
801,和平,hé píng,
802,声音,shēng yīn,
803,观念,guān niàn,佛源
804,经常,jīng cháng,
805,敢,gǎn,
806,关心,guān xīn,
807,解释,jiě shì,
808,道德,dào dé,
809,愿,yuàn,
810,还有,hái yǒu,
811,情,qíng,
812,同学,tóng xué,
813,进步,jìn bù,佛源
814,力,lì,
815,她们,tā men,
816,单,dān,
817,经营,jīng yíng,
818,作家,zuò jiā,佛源;日源
819,根,gēn,佛源
820,占,zhàn,外来
821,教师,jiào shī,
822,记,jì,
823,回来,huí lai,
824,场,chǎng,
825,出版,chū bǎn,
826,组,zǔ,
827,退,tuì,
828,也许,yě xǔ,
829,重,zhòng,
830,加强,jiā qiáng,
831,办公室,bàn gōng shì,
832,健康,jiàn kāng,
833,换,huàn,
834,道路,dào lù,
835,完,wán,
836,迅速,xùn sù,
837,属,shǔ / zhǔ,
838,正确,zhèng què,日源
839,产品,chǎn pǐn,
840,信息,xìn xī,佛源
841,深入,shēn rù,佛源
842,胜利,shèng lì,
843,拉,lā,
844,发挥,fā huī,
845,读者,dú zhě,
846,眼睛,yǎn jing,
847,船,chuán,
848,简单,jiǎn dān,
849,神,shén,
850,飞,fēi,
851,台湾,tái wān,
852,留下,liú xià,
853,怕,pà,
854,只,zhǐ,
855,忙,máng,
856,女子,nǚ zǐ,
857,排,pái,外来
858,偏,piān,
859,曾经,céng jīng,
860,项目,xiàng mù,
861,专家,zhuān jiā,
862,重视,zhòng shì,日源
863,来自,lái zì,佛源
864,设计,shè jì,
865,黄,huáng,
866,丰富,fēng fù,
867,理想,lǐ xiǎng,
868,流,liú,
869,公,gōng,
870,双方,shuāng fāng,
871,言,yán,
872,刘,liú,
873,欢迎,huān yíng,
874,恢复,huī fù,
875,院,yuàn,
876,唱,chàng,佛源
877,不足,bù zú,
878,属于,shǔ yú,
879,工业,gōng yè,
880,音乐,yīn yuè,
881,主,zhǔ,
882,满足,mǎn zú,
883,掉,diào,
884,包,bāo,
885,战,zhàn,
886,质量,zhì liàng,日源
887,自然,zì rán,
888,抓住,zhuā zhù,
889,帮,bāng,
890,日子,rì zi,
891,期间,qī jiān,
892,投资,tóu zī,
893,法国,fǎ guó,
894,过去,guò qù,佛源
895,紧张,jǐn zhāng,
896,眼,yǎn,
897,夜,yè,
898,平,píng,
899,比赛,bǐ sài,
900,阶段,jiē duàn,
901,开发,kāi fā,
902,范围,fàn wéi,
903,关,guān,
904,分钟,fēn zhōng,
905,不知,bù zhī,
906,大会,dà huì,
907,总理,zǒng lǐ,
908,江,jiāng,
909,楼,lóu,
910,全面,quán miàn,
911,未来,wèi lái,佛源
912,京,jīng,外来
913,河,hé,
914,人口,rén kǒu,
915,扩大,kuò dà,
916,即使,jí shǐ,
917,军队,jūn duì,
918,难以,nán yǐ,
919,外国,wài guó,
920,先进,xiān jìn,
921,银行,yín háng,
922,事件,shì jiàn,
923,热情,rè qíng,
924,常常,cháng cháng,
925,强烈,qiáng liè,
926,必要,bì yào,
927,文明,wén míng,
928,手段,shǒu duàn,
929,级,jí,
930,亩,mǔ,
931,建议,jiàn yì,
932,镇,zhèn,
933,女儿,nǚ ér,
934,特殊,tè shū,
935,装,zhuāng,
936,陈,chén,
937,复杂,fù zá,
938,战士,zhàn shì,日源
939,作为,zuò wéi,日源
940,形势,xíng shì,
941,无论,wú lùn,
942,机构,jī gòu,
943,执行,zhí xíng,日源
944,讲话,jiǎng huà,
945,以为,yǐ wéi,
946,若,ruò,
947,乡,xiāng,
948,同意,tóng yì,
949,分子,fèn zǐ,
950,望,wàng,
951,摆,bǎi,
952,实践,shí jiàn,
953,科技,kē jì,
954,建筑,jiàn zhù,
955,尚,shàng,
956,语,yǔ / yù,
957,之前,zhī qián,佛源
958,广大,guǎng dà,
959,届,jiè,
960,那个,nà ge,
961,班,bān,
962,长期,cháng qī,佛源
963,观,guān,
964,专门,zhuān mén,
965,取,qǔ,
966,大量,dà liàng,
967,改造,gǎi zào,
968,土,tǔ,外来
969,民主,mín zhǔ,
970,成绩,chéng jì,
971,随,suí,
972,父母,fù mǔ,
973,倍,bèi,
974,史,shǐ,
975,培养,péi yǎng,
976,哪里,nǎ lǐ,
977,杯,bēi,
978,强调,qiáng diào,
979,相互,xiāng hù,
980,毛,máo,
981,保,bǎo,
982,超过,chāo guò,佛源
983,正式,zhèng shì,日源
984,著名,zhù míng,
985,诗,shī,
986,章,zhāng,
987,批评,pī píng,
988,稳定,wěn dìng,
989,明白,míng bai,
990,停,tíng,
991,出口,chū kǒu,
992,重点,zhòng diǎn,
993,朝,cháo,
994,资金,zī jīn,日源
995,指导,zhǐ dǎo,
996,英,yīng,
997,状态,zhuàng tài,
998,祖国,zǔ guó,日源
999,不但,bù dàn,
1000,借,jiè,
1001,报道,bào dào,
1002,药,yào,
1003,开展,kāi zhǎn,
1004,投入,tóu rù,
1005,身,shēn,
1006,高度,gāo dù,
1007,直,zhí,
1008,独立,dú lì,
1009,电视,diàn shì,
1010,妈妈,mā ma,
1011,职工,zhí gōng,日源
1012,男,nán,
1013,增长,zēng zhǎng,
1014,各地,gè dì,
1015,费,fèi,
1016,有时,yǒu shí,
1017,深刻,shēn kè,
1018,以下,yǐ xià,
1019,刚刚,gāng gang,
1020,主张,zhǔ zhāng,
1021,教,jiào,
1022,明确,míng què,
1023,习惯,xí guàn,
1024,调整,tiáo zhěng,
1025,交通,jiāo tōng,
1026,因素,yīn sù,
1027,养,yǎng,
1028,行政,xíng zhèng,
1029,挂,guà,
1030,追求,zhuī qiú,
1031,物,wù,
1032,关键,guān jiàn,
1033,措施,cuò shī,
1034,坚决,jiān jué,
1035,承认,chéng rèn,
1036,实,shí,
1037,集,jí,
1038,效果,xiào guǒ,
1039,德国,dé guó,
1040,草,cǎo,
1041,宣布,xuān bù,
1042,上午,shàng wǔ,
1043,知,zhī,
1044,共产党,gòng chǎn dǎng,
1045,失去,shī qù,
1046,资源,zī yuán,日源
1047,减少,jiǎn shǎo,
1048,断,duàn,
1049,领域,lǐng yù,
1050,封,fēng,
1051,先后,xiān hòu,
1052,今后,jīn hòu,
1053,促进,cù jìn,
1054,经历,jīng lì,
1055,有效,yǒu xiào,
1056,特点,tè diǎn,
1057,位置,wèi zhi,
1058,现代化,xiàn dài huà,
1059,就要,jiù yào,
1060,价格,jià gé,
1061,部长,bù zhǎng,
1062,过来,guò lái,
1063,观众,guān zhòng,
1064,值得,zhí de,
1065,轮,lún,
1066,正常,zhèng cháng,日源
1067,脚,jiǎo,
1068,地方,dì fang,
1069,破坏,pò huài,
1070,看来,kàn lai,
1071,适应,shì yìng,
1072,战略,zhàn lüè,日源
1073,天气,tiān qì,
1074,急,jí,
1075,度,dù / duó,佛源
1076,贡献,gòng xiàn,
1077,突出,tū chū,
1078,欧洲,ōu zhōu,
1079,掌握,zhǎng wò,
1080,错误,cuò wù,
1081,何,hé,
1082,病人,bìng rén,
1083,对象,duì xiàng,
1084,确定,què dìng,
1085,实施,shí shī,
1086,此外,cǐ wài,
1087,委员会,wěi yuán huì,
1088,满意,mǎn yì,
1089,师,shī,佛源
1090,英雄,yīng xióng,
1091,明,míng,
1092,驻,zhù,
1093,冲,chōng,
1094,在于,zài yú,
1095,合理,hé lǐ,外来
1096,普通,pǔ tōng,
1097,竞争,jìng zhēng,
1098,当地,dāng dì,
1099,宗教,zōng jiào,佛源
1100,联合,lián hé,
1101,业务,yè wù,
1102,物质,wù zhì,
1103,表明,biǎo míng,
1104,训练,xùn liàn,
1105,一致,yī zhì,
1106,组成,zǔ chéng,日源
1107,专业,zhuān yè,日源
1108,官,guān,
1109,案,àn,
1110,网络,wǎng luò,
1111,治,zhì,
1112,权利,quán lì,
1113,前进,qián jìn,
1114,成果,chéng guǒ,佛源
1115,版,bǎn,
1116,网,wǎng,
1117,机,jī,
1118,显得,xiǎn de,
1119,脸,liǎn,
1120,自身,zì shēn,
1121,指挥,zhǐ huī,
1122,演出,yǎn chū,
1123,交流,jiāo liú,
1124,天津,tiān jīn,
1125,推,tuī,
1126,设备,shè bèi,
1127,哲学,zhé xué,日源
1128,牛,niú,
1129,学者,xué zhě,
1130,卫生,wèi shēng,
1131,缺乏,quē fá,
1132,表,biǎo,
1133,真实,zhēn shí,佛源
1134,体现,tǐ xiàn,
1135,酒,jiǔ,
1136,飞机,fēi jī,
1137,文字,wén zì,
1138,歌,gē,
1139,严格,yán gé,
1140,火,huǒ,
1141,依然,yī rán,
1142,称为,chēng wéi,
1143,工,gōng,
1144,资料,zī liào,日源
1145,型,xíng,
1146,菜,cài,
1147,哪,nǎ,
1148,速度,sù dù,
1149,工资,gōng zī,
1150,中国梦,zhōng guó mèng,
1151,至少,zhì shǎo,
1152,儿童,ér tóng,
1153,纷纷,fēn fēn,
1154,产业,chǎn yè,
1155,明天,míng tiān,
1156,开放,kāi fàng,
1157,集体,jí tǐ,
1158,体系,tǐ xì,
1159,德,dé,
1160,鱼,yú,
1161,召开,zhào kāi,日源
1162,设,shè,
1163,轻,qīng,
1164,监督,jiān dū,
1165,体,tǐ,
1166,戏,xì,
1167,拍,pāi,
1168,绿,lǜ,
1169,出发,chū fā,
1170,房,fáng,
1171,实际上,shí jì shàng,
1172,小说,xiǎo shuō,
1173,破,pò,
1174,兵,bīng,
1175,现,xiàn,
1176,啊,a,
1177,优秀,yōu xiù,日源
1178,必然,bì rán,
1179,业,yè,
1180,主动,zhǔ dòng,日源
1181,附近,fù jìn,
1182,动物,dòng wù,
1183,解放,jiě fàng,
1184,兼,jiān,
1185,有所,yǒu suǒ,
1186,看见,kàn jiàn,
1187,通知,tōng zhī,
1188,广告,guǎng gào,
1189,体制,tǐ zhì,
1190,当前,dāng qián,
1191,从事,cóng shì,
1192,至今,zhì jīn,
1193,加入,jiā rù,
1194,当年,dāng nián,
1195,财政,cái zhèng,
1196,颗,kē,
1197,为,wéi,
1198,跳,tiào,
1199,弄,nòng,
1200,广泛,guǎng fàn,
